carrier_id,carrier_name,carrier_type,region
CV,Cargolux Airlines International S.A,Unknown,USA
SQ,Singapore Airlines Ltd.,Unknown,USA
CZ,China Southern Airlines,Unknown,USA
MP,Martinair Holland N.V.,Unknown,USA
KAQ,Kalitta Air LLC,Unknown,USA
WPT,World2Fly Portugal SA,Unknown,USA
Z3Q,"PM Air, LLC",Unknown,USA
ADB,Antonov Company,Unknown,USA
WI,Sky Lease Cargo,Unknown,USA
NZ,Air New Zealand,Unknown,USA
Z0,Norse Atlantic UK Ltd,Unknown,USA
ET,Ethiopian Airlines,Unknown,USA
1ZQ,Comlux Aruba NV,Unknown,USA
JU,Air Serbia,Unknown,USA
MS,Egyptair,Unknown,USA
OS,Austrian Airlines,Unknown,USA
PY,Surinam Airways Limited,Unknown,USA
Y9,1263343 Alberta Inc. d/b/a Lynx Air,Unknown,USA
7C,Jeju Air Co Ltd.,Unknown,USA
TN,Air Tahiti Nui,Unknown,USA
JQ,Jetstar Airways Pty Limited,Unknown,USA
3U,Sichuan Airlines Co Ltd.,Unknown,USA
ZG,ZIPAIR Tokyo Inc.,Unknown,USA
SEB,"Seaborne Virgin Islands, Inc.",Unknown,USA
E7,Estafeta Carga Aereas,Unknown,USA
RJ,Alia-(The) Royal Jordanian,Unknown,USA
AT,Royal Air Maroc,Unknown,USA
SN,Brussels Airlines N.V.,Unknown,USA
HY,Uzbekistan Airways,Unknown,USA
KQ,Kenya Airways PLC,Unknown,USA
CK,China Cargo Airline,Unknown,USA
KU,Kuwait Airways Corp.,Unknown,USA
QR,Qatar Airways (Q.C.S.C),Unknown,USA
