airport_id,city,state,airport_name,country
KLN,"Larsen Bay, AK",AK,KLN Airport,USA
KPR,"Port Williams, AK",AK,KPR Airport,USA
KPY,"Port Bailey, AK",AK,KPY Airport,USA
KWP,"West Point, AK",AK,KWP Airport,USA
KZB,"Zachar Bay, AK",AK,KZB Airport,USA
SYB,"Seal Bay, AK",AK,SYB Airport,USA
UGI,"Uganik, AK",AK,UGI Airport,USA
A34,"Laura Lake, AK",AK,A34 Airport,USA
KMY,"Moser Bay, AK",AK,KMY Airport,USA
A30,"Terror Lake, AK",AK,A30 Airport,USA
EHR,"Eagle Harbor, AK",AK,EHR Airport,USA
KOY,"Olga Bay, AK",AK,KOY Airport,USA
KOZ,"Ouzinkie, AK",AK,KOZ Airport,USA
OLH,"Old Harbor, AK",AK,OLH Airport,USA
ONN,"Onion Bay, AK",AK,ONN Airport,USA
YAZ,"Tofino, Canada",BC,YAZ Airport,USA
CZN,"Chisana, AK",AK,CZN Airport,USA
SAC,"Sacramento, CA",CA,SAC Airport,USA
CIK,"Chalkyitsik, AK",AK,CIK Airport,USA
HSH,"Las Vegas, NV",NV,HSH Airport,USA
LGB,"Long Beach, CA",CA,LGB Airport,USA
BNF,"Baranof, AK",AK,BNF Airport,USA
1G4,"Peach Springs, AZ",AZ,1G4 Airport,USA
L41,"Marble Canyon, AZ",AZ,L41 Airport,USA
YYR,"Goose Bay, Canada",NL,YYR Airport,USA
KNK,"Kokhanok, AK",AK,KNK Airport,USA
MCY,"Maroochydore, Australia",,MCY Airport,USA
KYU,"Koyukuk, AK",AK,KYU Airport,USA
NUL,"Nulato, AK",AK,NUL Airport,USA
DJN,"Delta Junction, AK",AK,DJN Airport,USA
EAA,"Eagle, AK",AK,EAA Airport,USA
IRC,"Circle, AK",AK,IRC Airport,USA
TLJ,"Tatalina, AK",AK,TLJ Airport,USA
ORI,"Port Lions, AK",AK,ORI Airport,USA
KYK,"Karluk, AK",AK,KYK Airport,USA
AKK,"Akhiok, AK",AK,AKK Airport,USA
09A,"Homer, AK",AK,09A Airport,USA
ADQ,"Kodiak, AK",AK,ADQ Airport,USA
AKN,"King Salmon, AK",AK,AKN Airport,USA
DGB,"Danger Bay, AK",AK,DGB Airport,USA
KCQ,"Chignik, AK",AK,KCQ Airport,USA
SKJ,"Sitkinak, AK",AK,SKJ Airport,USA
SWD,"Seward, AK",AK,SWD Airport,USA
FRY,"Fryeburg, ME",ME,FRY Airport,USA
HVN,"New Haven, CT",CT,HVN Airport,USA
MMU,"Morristown, NJ",NJ,MMU Airport,USA
MTP,"Montauk Point, NY",NY,MTP Airport,USA
OWD,"Norwood, MA",MA,OWD Airport,USA
PNE,"Philadelphia, PA",PA,PNE Airport,USA
RDG,"Reading, PA",PA,RDG Airport,USA
BDR,"Bridgeport, CT",CT,BDR Airport,USA
GON,"New London/Groton, CT",CT,GON Airport,USA
PA5,"West Chester, PA",PA,PA5 Airport,USA
PCT,"Princeton, NJ",NJ,PCT Airport,USA
PVC,"Provincetown, MA",MA,PVC Airport,USA
SMO,"Santa Monica, CA",CA,SMO Airport,USA
STS,"Santa Rosa, CA",CA,STS Airport,USA
TRM,"Thermal, CA",CA,TRM Airport,USA
LCI,"Laconia, NH",NH,LCI Airport,USA
NNK,"Naknek, AK",AK,NNK Airport,USA
MRY,"Monterey, CA",CA,MRY Airport,USA
FID,"Fishers Island, NY",NY,FID Airport,USA
MIV,"Millville, NJ",NJ,MIV Airport,USA
NPT,"Newport, RI",RI,NPT Airport,USA
GCN,"Grand Canyon, AZ",AZ,GCN Airport,USA
PGA,"Page, AZ",AZ,PGA Airport,USA
ESN,"Easton, MD",MD,ESN Airport,USA
BMI,"Bloomington/Normal, IL",IL,BMI Airport,USA
FNC,"Funchal, Portugal",,FNC Airport,USA
FWA,"Fort Wayne, IN",IN,FWA Airport,USA
YIP,"Detroit, MI",MI,YIP Airport,USA
SML,"Stella Maris, The Bahamas",,SML Airport,USA
GGT,"Moss Town, The Bahamas",,GGT Airport,USA
NHT,"Northolt, United Kingdom",,NHT Airport,USA
FAB,"Farnborough, United Kingdom",,FAB Airport,USA
LTN,"London, United Kingdom",,LTN Airport,USA
RST,"Rochester, MN",MN,RST Airport,USA
EDI,"Edinburgh, United Kingdom",,EDI Airport,USA
AGP,"Malaga, Spain",,AGP Airport,USA
WJF,"Lancaster, CA",CA,WJF Airport,USA
GTF,"Great Falls, MT",MT,GTF Airport,USA
CLP,"Clarks Point, AK",AK,CLP Airport,USA
DLG,"Dillingham, AK",AK,DLG Airport,USA
KEK,"Ekwok, AK",AK,KEK Airport,USA
KNW,"New Stuyahok, AK",AK,KNW Airport,USA
TOG,"Togiak, AK",AK,TOG Airport,USA
KMO,"Manokotak, AK",AK,KMO Airport,USA
KOT,"Kotlik, AK",AK,KOT Airport,USA
HPB,"Hooper Bay, AK",AK,HPB Airport,USA
WWT,"Newtok, AK",AK,WWT Airport,USA
TWA,"Twin Hills, AK",AK,TWA Airport,USA
LIN,"Milan, Italy",,LIN Airport,USA
BQH,"London, United Kingdom",,BQH Airport,USA
KOA,"Kona, HI",HI,KOA Airport,USA
BKC,"Buckland, AK",AK,BKC Airport,USA
CKD,"Crooked Creek, AK",AK,CKD Airport,USA
IAN,"Kiana, AK",AK,IAN Airport,USA
KKA,"Koyuk, AK",AK,KKA Airport,USA
OTZ,"Kotzebue, AK",AK,OTZ Airport,USA
RDV,"Red Devil, AK",AK,RDV Airport,USA
SKK,"Shaktoolik, AK",AK,SKK Airport,USA
SLQ,"Sleetmute, AK",AK,SLQ Airport,USA
SMK,"St. Michael, AK",AK,SMK Airport,USA
SRV,"Stony River, AK",AK,SRV Airport,USA
SXP,"Sheldon Point, AK",AK,SXP Airport,USA
UNK,"Unalakleet, AK",AK,UNK Airport,USA
WBB,"Stebbins, AK",AK,WBB Airport,USA
